modele,sous_type,n,accuracy_stricte,macro_f1_stricte,taux_refus_pct
@cf/meta/llama-3.3-70b-instruct-fp8-fast,ambigu,93,0.5806,0.4488,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,complotisme,29,1.0,0.6667,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,dog_whistle,138,0.7101,0.4816,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,exclusion,107,0.8037,0.6419,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,haine_explicite,428,0.8668,0.8645,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,haine_implicite,298,0.6443,0.597,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,hostilite_religieuse,46,0.6087,0.4,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,sarcasme,123,0.6423,0.5145,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,stereotype,238,0.6261,0.6034,0.0
gemini-3.5-flash-lite,ambigu,93,0.7419,0.6706,0.0
gemini-3.5-flash-lite,complotisme,29,1.0,0.6667,0.0
gemini-3.5-flash-lite,dog_whistle,138,0.7971,0.6424,0.0
gemini-3.5-flash-lite,exclusion,107,0.7944,0.6857,0.0
gemini-3.5-flash-lite,haine_explicite,428,0.9299,0.9243,0.0
gemini-3.5-flash-lite,haine_implicite,298,0.7987,0.7545,0.0
gemini-3.5-flash-lite,hostilite_religieuse,46,0.6957,0.5139,0.0
gemini-3.5-flash-lite,sarcasme,123,0.8049,0.7452,0.0
gemini-3.5-flash-lite,stereotype,238,0.8151,0.7738,0.0
mistral-large-latest,ambigu,93,0.7634,0.6725,0.0
mistral-large-latest,complotisme,29,1.0,0.6667,0.0
mistral-large-latest,dog_whistle,138,0.7681,0.6005,0.0
mistral-large-latest,exclusion,107,0.785,0.6397,0.0
mistral-large-latest,haine_explicite,428,0.9042,0.899,0.0
mistral-large-latest,haine_implicite,298,0.802,0.763,0.0
mistral-large-latest,hostilite_religieuse,46,0.6522,0.4613,0.0
mistral-large-latest,sarcasme,123,0.7561,0.7009,0.0
mistral-large-latest,stereotype,238,0.8403,0.7989,0.0
openai/gpt-oss-120b,ambigu,93,0.5591,0.4787,1.08
openai/gpt-oss-120b,complotisme,29,0.931,0.6533,3.45
openai/gpt-oss-120b,dog_whistle,138,0.6957,0.5362,1.45
openai/gpt-oss-120b,exclusion,107,0.7944,0.6663,0.0
openai/gpt-oss-120b,haine_explicite,428,0.9112,0.9054,0.0
openai/gpt-oss-120b,haine_implicite,298,0.6242,0.5746,1.34
openai/gpt-oss-120b,hostilite_religieuse,46,0.6087,0.4018,2.17
openai/gpt-oss-120b,sarcasme,123,0.626,0.5407,2.44
openai/gpt-oss-120b,stereotype,238,0.6849,0.6621,0.42
