modele,source_generation,n,accuracy_stricte,macro_f1_stricte,taux_refus_pct
@cf/meta/llama-3.3-70b-instruct-fp8-fast,generation_complement,83,0.506,0.3356,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,generation_originale,420,0.6643,0.6244,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,hardcase,254,0.6535,0.4264,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,transfert_racisme_antisemitisme,194,0.9948,0.3325,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,transfert_racisme_xenophobie,137,0.9927,0.3321,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,tri_manuel,412,0.6553,0.7031,0.0
gemini-3.5-flash-lite,generation_complement,83,0.6627,0.4293,0.0
gemini-3.5-flash-lite,generation_originale,420,0.8214,0.7946,0.0
gemini-3.5-flash-lite,hardcase,254,0.8819,0.6073,0.0
gemini-3.5-flash-lite,transfert_racisme_antisemitisme,194,1.0,0.3333,0.0
gemini-3.5-flash-lite,transfert_racisme_xenophobie,137,0.9489,0.3246,0.0
gemini-3.5-flash-lite,tri_manuel,412,0.7427,0.7547,0.0
mistral-large-latest,generation_complement,83,0.5542,0.3651,0.0
mistral-large-latest,generation_originale,420,0.8119,0.784,0.0
mistral-large-latest,hardcase,254,0.8583,0.6034,0.0
mistral-large-latest,transfert_racisme_antisemitisme,194,1.0,0.3333,0.0
mistral-large-latest,transfert_racisme_xenophobie,137,0.9489,0.3246,0.0
mistral-large-latest,tri_manuel,412,0.7524,0.7705,0.0
openai/gpt-oss-120b,generation_complement,83,0.5904,0.3867,0.0
openai/gpt-oss-120b,generation_originale,420,0.7024,0.6807,0.48
openai/gpt-oss-120b,hardcase,254,0.5787,0.4385,1.97
openai/gpt-oss-120b,transfert_racisme_antisemitisme,194,0.9948,0.3325,0.0
openai/gpt-oss-120b,transfert_racisme_xenophobie,137,0.9416,0.3233,0.73
openai/gpt-oss-120b,tri_manuel,412,0.7063,0.731,1.21
