modele,sous_type,confiance_mediane,n
@cf/meta/llama-3.3-70b-instruct-fp8-fast,ambigu,0.8,93
@cf/meta/llama-3.3-70b-instruct-fp8-fast,dog_whistle,0.8,138
@cf/meta/llama-3.3-70b-instruct-fp8-fast,exclusion,0.8,107
@cf/meta/llama-3.3-70b-instruct-fp8-fast,haine_implicite,0.8,298
@cf/meta/llama-3.3-70b-instruct-fp8-fast,hostilite_religieuse,0.8,46
@cf/meta/llama-3.3-70b-instruct-fp8-fast,sarcasme,0.8,123
@cf/meta/llama-3.3-70b-instruct-fp8-fast,stereotype,0.8,238
@cf/meta/llama-3.3-70b-instruct-fp8-fast,complotisme,0.9,29
@cf/meta/llama-3.3-70b-instruct-fp8-fast,haine_explicite,0.9,428
gemini-3.5-flash-lite,ambigu,0.85,93
gemini-3.5-flash-lite,dog_whistle,0.85,138
gemini-3.5-flash-lite,haine_implicite,0.85,298
gemini-3.5-flash-lite,hostilite_religieuse,0.85,46
gemini-3.5-flash-lite,sarcasme,0.85,123
gemini-3.5-flash-lite,stereotype,0.85,238
gemini-3.5-flash-lite,complotisme,0.95,29
gemini-3.5-flash-lite,exclusion,0.95,107
gemini-3.5-flash-lite,haine_explicite,0.98,428
mistral-large-latest,ambigu,0.8,93
mistral-large-latest,haine_implicite,0.85,298
mistral-large-latest,dog_whistle,0.9,138
mistral-large-latest,sarcasme,0.9,123
mistral-large-latest,complotisme,0.95,29
mistral-large-latest,exclusion,0.95,107
mistral-large-latest,haine_explicite,0.95,428
mistral-large-latest,hostilite_religieuse,0.95,46
mistral-large-latest,stereotype,0.95,238
openai/gpt-oss-120b,ambigu,0.6,92
openai/gpt-oss-120b,haine_implicite,0.62,294
openai/gpt-oss-120b,sarcasme,0.7,120
openai/gpt-oss-120b,dog_whistle,0.8,136
openai/gpt-oss-120b,stereotype,0.82,237
openai/gpt-oss-120b,exclusion,0.95,107
openai/gpt-oss-120b,hostilite_religieuse,0.95,45
openai/gpt-oss-120b,complotisme,0.98,28
openai/gpt-oss-120b,haine_explicite,0.98,428
