modele,dimension,categorie,n,accuracy_stricte,macro_f1_stricte,taux_refus_pct
@cf/meta/llama-3.3-70b-instruct-fp8-fast,sous_type,ambigu,93,0.5806,0.4488,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,sous_type,complotisme,29,1.0,0.6667,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,sous_type,dog_whistle,138,0.7101,0.4816,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,sous_type,exclusion,107,0.8037,0.6419,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,sous_type,haine_explicite,428,0.8668,0.8645,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,sous_type,haine_implicite,298,0.6443,0.597,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,sous_type,hostilite_religieuse,46,0.6087,0.4,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,sous_type,sarcasme,123,0.6423,0.5145,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,sous_type,stereotype,238,0.6261,0.6034,0.0
gemini-3.5-flash-lite,sous_type,ambigu,93,0.7419,0.6706,0.0
gemini-3.5-flash-lite,sous_type,complotisme,29,1.0,0.6667,0.0
gemini-3.5-flash-lite,sous_type,dog_whistle,138,0.7971,0.6424,0.0
gemini-3.5-flash-lite,sous_type,exclusion,107,0.7944,0.6857,0.0
gemini-3.5-flash-lite,sous_type,haine_explicite,428,0.9299,0.9243,0.0
gemini-3.5-flash-lite,sous_type,haine_implicite,298,0.7987,0.7545,0.0
gemini-3.5-flash-lite,sous_type,hostilite_religieuse,46,0.6957,0.5139,0.0
gemini-3.5-flash-lite,sous_type,sarcasme,123,0.8049,0.7452,0.0
gemini-3.5-flash-lite,sous_type,stereotype,238,0.8151,0.7738,0.0
mistral-large-latest,sous_type,ambigu,93,0.7634,0.6725,0.0
mistral-large-latest,sous_type,complotisme,29,1.0,0.6667,0.0
mistral-large-latest,sous_type,dog_whistle,138,0.7681,0.6005,0.0
mistral-large-latest,sous_type,exclusion,107,0.785,0.6397,0.0
mistral-large-latest,sous_type,haine_explicite,428,0.9042,0.899,0.0
mistral-large-latest,sous_type,haine_implicite,298,0.802,0.763,0.0
mistral-large-latest,sous_type,hostilite_religieuse,46,0.6522,0.4613,0.0
mistral-large-latest,sous_type,sarcasme,123,0.7561,0.7009,0.0
mistral-large-latest,sous_type,stereotype,238,0.8403,0.7989,0.0
openai/gpt-oss-120b,sous_type,ambigu,93,0.5591,0.4787,1.08
openai/gpt-oss-120b,sous_type,complotisme,29,0.931,0.6533,3.45
openai/gpt-oss-120b,sous_type,dog_whistle,138,0.6957,0.5362,1.45
openai/gpt-oss-120b,sous_type,exclusion,107,0.7944,0.6663,0.0
openai/gpt-oss-120b,sous_type,haine_explicite,428,0.9112,0.9054,0.0
openai/gpt-oss-120b,sous_type,haine_implicite,298,0.6242,0.5746,1.34
openai/gpt-oss-120b,sous_type,hostilite_religieuse,46,0.6087,0.4018,2.17
openai/gpt-oss-120b,sous_type,sarcasme,123,0.626,0.5407,2.44
openai/gpt-oss-120b,sous_type,stereotype,238,0.6849,0.6621,0.42
@cf/meta/llama-3.3-70b-instruct-fp8-fast,source_generation,generation_complement,83,0.506,0.3356,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,source_generation,generation_originale,420,0.6643,0.6244,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,source_generation,hardcase,254,0.6535,0.4264,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,source_generation,transfert_racisme_antisemitisme,194,0.9948,0.3325,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,source_generation,transfert_racisme_xenophobie,137,0.9927,0.3321,0.0
@cf/meta/llama-3.3-70b-instruct-fp8-fast,source_generation,tri_manuel,412,0.6553,0.7031,0.0
gemini-3.5-flash-lite,source_generation,generation_complement,83,0.6627,0.4293,0.0
gemini-3.5-flash-lite,source_generation,generation_originale,420,0.8214,0.7946,0.0
gemini-3.5-flash-lite,source_generation,hardcase,254,0.8819,0.6073,0.0
gemini-3.5-flash-lite,source_generation,transfert_racisme_antisemitisme,194,1.0,0.3333,0.0
gemini-3.5-flash-lite,source_generation,transfert_racisme_xenophobie,137,0.9489,0.3246,0.0
gemini-3.5-flash-lite,source_generation,tri_manuel,412,0.7427,0.7547,0.0
mistral-large-latest,source_generation,generation_complement,83,0.5542,0.3651,0.0
mistral-large-latest,source_generation,generation_originale,420,0.8119,0.784,0.0
mistral-large-latest,source_generation,hardcase,254,0.8583,0.6034,0.0
mistral-large-latest,source_generation,transfert_racisme_antisemitisme,194,1.0,0.3333,0.0
mistral-large-latest,source_generation,transfert_racisme_xenophobie,137,0.9489,0.3246,0.0
mistral-large-latest,source_generation,tri_manuel,412,0.7524,0.7705,0.0
openai/gpt-oss-120b,source_generation,generation_complement,83,0.5904,0.3867,0.0
openai/gpt-oss-120b,source_generation,generation_originale,420,0.7024,0.6807,0.48
openai/gpt-oss-120b,source_generation,hardcase,254,0.5787,0.4385,1.97
openai/gpt-oss-120b,source_generation,transfert_racisme_antisemitisme,194,0.9948,0.3325,0.0
openai/gpt-oss-120b,source_generation,transfert_racisme_xenophobie,137,0.9416,0.3233,0.73
openai/gpt-oss-120b,source_generation,tri_manuel,412,0.7063,0.731,1.21
